키워드,제목,원문링크,발행일(KST),수집시각(KST),출처
직업훈련,"대전 현대직업전문학교, ‘현장 실무 중심 교육’ 진행 - 공감신문",https://news.google.com/rss/articles/CBMiaEFVX3lxTE43VV9CV3gwVXdOZmpRY1NYZlJFd1ZCZnpuUXExLWU4SDNrUmQxYjNRQlU3N0dxcFAwdmRhTDFlN1FtOEprb1R6dDlzU3pVaDdnbk1YY0tJRlpnOEJjZExiVVVSZVd2dmFi?oc=5&hl=en-US&gl=US&ceid=US:en,2025-10-29 12:29,2025-10-29 13:11,news.google.com
직업훈련,"인천중앙직업전문학교, 국내 최다 디자인고교위탁교육과정 운영 - 네이트",https://news.google.com/rss/articles/CBMiU0FVX3lxTE1RUUJKOUxsRVRUaDRaWEl3MXBBdkFHdEI5OFUxRDg0Mm5rUTZzRHl5NnVpUHlTaEpkek1tZ1lxY0FvMHBRRlFIV0FhY3FCNTRtZHZN?oc=5&hl=en-US&gl=US&ceid=US:en,2025-10-29 10:17,2025-10-29 13:11,news.google.com
직업훈련,중증장애인 직업훈련 수당 16년 만에 인상…“사업체 지원금은 여전히 0원” - 뉴스홈,https://news.google.com/rss/articles/CBMibkFVX3lxTFBYTnRCaUstVGZzOEFNTGJIcFhVT240U3RLS21lVTNCeGJuVU4tRmhBUjd0aDJIaWJKT19DRDJYck9UXzFxQWJEVVNsTVVXaGJ0Q1JVMEN4SlhBemxCTmRGc0lZTmFqUDhxWXN1Z0Vn?oc=5&hl=en-US&gl=US&ceid=US:en,2025-10-29 10:07,2025-10-29 13:11,news.google.com
직업훈련,"더원직업훈련센터, 제8회 웹툰 전시회 개최 - 아시아뉴스통신",https://news.google.com/rss/articles/CBMiXEFVX3lxTE1MSEp3ODVrOFRGOVdOSzFBMm82Q1V5aU45dmxvNWFnbmZUd1BwMjU1bmdiNS1xdDlPVXViNEVsRUdJUmk2S3czWE9hM2JLczlTV0tjamx1eUxXN2ZT?oc=5&hl=en-US&gl=US&ceid=US:en,2025-10-29 09:19,2025-10-29 13:11,news.google.com
직업훈련,"""다시 일하고 싶어요""…훈련비 0원에 직업훈련 기관 문 두드린다 - 네이트",https://news.google.com/rss/articles/CBMiU0FVX3lxTFA0cXA2cE1jX0hyYVBXdHctS1B0MHhxRHZ6WUFrQzJxNkJHSG5MM3NnVWVuRU9LNlVpRTBlVXpqWnNxMGZQT0xNdnVoLU1VSnp5aWJ3?oc=5&hl=en-US&gl=US&ceid=US:en,2025-10-28 11:28,2025-10-29 13:11,news.google.com
직업훈련,산악인을 위한 직업 훈련 기회 - Vietnam.vn,https://news.google.com/rss/articles/CBMickFVX3lxTE9SWlNEal9SVERITzdabXFULWhYVUZtWnhSM29CLVVRZzBHa1ZpVG05czY5ZU9Xb2R3anhwYWphaW0yZVA4dUluVWk3VUhNdzJvWUdTLU5NWGoyMTRKdWstczdLdWVid3JlU3pGdFF2SW1PUQ?oc=5&hl=en-US&gl=US&ceid=US:en,2025-10-28 11:06,2025-10-29 13:11,news.google.com
직업훈련,광트리 산악지대 장애인 직업훈련 - Vietnam.vn,https://news.google.com/rss/articles/CBMihwFBVV95cUxNMEJzVHBkNDROTEUzTG9fV0lPX045YkpaUHJidjhNYjd0WVlZc0hyWUlydHMyRm5acE9FVTF3ZDlsdlN6WWJybW1LWkhOczBXMVBzZDc5OXNxSks0clRWT2haSjcxRGQwcUJlWFJpMFhtSjQ2RnhEMERPZ2cxak1sWm0yelRiNE0?oc=5&hl=en-US&gl=US&ceid=US:en,2025-10-27 09:31,2025-10-29 13:11,news.google.com
직업훈련,"한국기술교육대, 독일·프랑스 전문가 초청 ‘국제 직업교육훈련 컨퍼런스’ 개최 - 충남일보",https://news.google.com/rss/articles/CBMic0FVX3lxTE5tNTBmWWZhSVR3NFlZbTM2Tk8zcE8zeTV3SE1uakZiNWFZaG0yVlg0N1FzYUNZZFc3TkZvdjJubzZTV05GOUZJM1UyOVhSNVlKVWZvX1ZiYU9yamMwN1BFSWpxRjNxM2phc2RsU3hPSk93VjQ?oc=5&hl=en-US&gl=US&ceid=US:en,2025-10-27 09:18,2025-10-29 13:11,news.google.com
직업훈련,산간지역 근로자 직업훈련에 관심 - Vietnam.vn,https://news.google.com/rss/articles/CBMieEFVX3lxTE1OQk9jYzJvV0pEZVVwdE1ZX2htRjBoOGVyczlvXzZqbGZtSjZuTHF2TkRGVnAwamtoZFh2bGV1cUxvMm1ETm1GaExRN1BLcDcwWk0zZS1FVlNFSEd0ZDlBTGtadlg4dTNCaEh4d0lRWGFCX1RUMGtDQQ?oc=5&hl=en-US&gl=US&ceid=US:en,2025-10-26 11:48,2025-10-29 13:11,news.google.com
직업훈련,"대전자동차정비학원 현대직업전문학교, ‘친환경 전기 관리자 양성과정’ 모집 - 데일리시큐",https://news.google.com/rss/articles/CBMibEFVX3lxTE9LdWxyUk5wQUdScGd2N1J2VjlFMkp1QUZoX29nUU1xcDNfczdod0taV0lZZHVpVU9iUWVZY2lGM0RDWmNiYzNiRWlxRU15Vk9BaGlwSUFLa2dKRnNpNjJPU2tVMWxUUVpqX2ZTcQ?oc=5&hl=en-US&gl=US&ceid=US:en,2025-10-26 06:00,2025-10-29 13:11,news.google.com
