키워드,제목,요약,원문링크,발행일(KST),수집시각(KST)
일학습병행,"동의대 일학습병행사업단, 2025 성과보고회 개최","- 동의대는 2025년 한 해 동안 41명의 학생과 19개 지역 기업이 참여한 일학습병행사업을 통해 산업 맞춤형 실무 인재 양성 성과를 거뒀다.
- 이날 행사에서는 우수 운영 사례 발표와 함께 참여 기업과 학생들을 대상으로 한 시상식이 진행됐으며, 총장상과 한국산업인력공단 부산지역본부장상, 학생지원처장상, IPP사업단장상 등이 수여됐다.
- 동의대는 2026년에도 산업현장 중심의 실무 교육을 강화해 학생과 기업 모두가 만족할 수 있는 취업 성과를 창출하겠다고 밝혔다.",https://n.news.naver.com/mnews/article/277/0005707960?sid=102,2026-01-16 15:57,2026-01-17 08:40
직업훈련,부산교육청 부산솔빛학교 괘법동 이전 개교,"- 부산교육청은 부산솔빛학교가 3월 사상구 삼락동에서 괘법동으로 이전 개교한다고 밝혔다.
- 새로운 학교는 부지 1만9108㎡에 4개동 36학급 규모로 특별실과 직업훈련실 등 장애학생 맞춤형 시설을 갖췄다.
- 부산교육청은 이전 개교를 지원하기 위해 '이전 개교 지원 협의체'를 구성하고必要한 점검을 진행했다.",https://n.news.naver.com/mnews/article/008/0005305698?sid=102,2026-01-16 16:45,2026-01-17 08:40
직업훈련,"양주새일센터-양주고용센터, '국민취업지원제도 연계·협업체계 구축' ...","- 양주새일센터와 양주고용센터가 국민취업지원제도 운영기관과의 협력을 강화하기 위한 협약을 체결했다.
- 이번 협약은 대상자 발굴부터 취업알선서비스까지 이어지는 통합 취업지원 체계 구축을 주요 내용으로 하고 있다.
- 양주새일센터와 양주고용센터는 지역의 경력단절 여성을 대상으로 맞춤형 상담 서비스와 제도적 지원을 제공함으로써 지역 내 고용 활성화에 기여할 예정이다.",https://n.news.naver.com/mnews/article/031/0000997620?sid=102,2026-01-16 16:00,2026-01-17 08:40
직업훈련,"부산솔빛학교, 사상공단 떠나 오는 3월 백양산 자락으로 이전","- 부산의 공립 특수학교인 부산솔빛학교가 산업단지 인근을 떠나 백양산 자락으로 이전한다.
- 새로운 교사에는 총 36학급을 운영할 수 있는 공간과 특별실, 직업훈련실 등이 갖춰져 있다.
- 새로운 환경에서 장애 학생 맞춤형 교육이 이뤄질 것으로 기대된다.",https://n.news.naver.com/mnews/article/082/0001362985?sid=102,2026-01-16 11:34,2026-01-17 08:40
직업훈련,"제주도, 구직 포기·사회 고립된 청년들 복귀 지원","- 제주도는 2월부터 '2026년 청년도전지원사업'을 추진하여 장기 실업한 청년들에게 심리상담과 진로 탐색을 제공할 예정이다.
- 이 사업은 6개월 이상 장기 실업한 청년들을 대상으로 노동시장 복귀를 견인하는 것을 목표로 하며, 최대 250만 원의 참여 수당을 지급한다.
- 모집 대상은 만 18세부터 39세까지의 청년 중 구직단념 청년을 우선하며, 자립준비 청년, 북한 이탈 청년, 청소년 복지시설 입·퇴소 청년 등도 지원받을 수 있다.",https://n.news.naver.com/mnews/article/421/0008718090?sid=102,2026-01-16 11:27,2026-01-17 08:40
고용노동부,"창원고용지청, ‘4억 원’ 임금체불 혐의 사업주 체포","- 고용노동부 창원지청은 억대 임금을 체불한 혐의로 60대 건설업체 사업주를 체포했습니다.
- 체포된 사업주는 4억 원의 임금을 체불한 것으로 알려졌습니다.
- 이는 임금 체불 문제가 여전히 사회적으로 문제가 되고 있음을 보여주는 사례입니다.",https://n.news.naver.com/mnews/article/056/0012106964?sid=102,2026-01-16 22:13,2026-01-17 08:40
고용노동부,"'240만원 체불' 인테리어 업자, 환기구에 숨어 있다 체포","- 인테리어업체 대표가 근로기준법 위반 혐의로 체포됐으며, 대표는 사업장 환기구에 숨어 있다가 노동 당국에 체포됐다.
- 대표는 2021년 6월께 일용직 노동자 5명을 채용한 뒤 임금 240만원을 체불한 혐의를 받고 있다.
- 노동 당국은 대표의 체포영장을 발부받아 집행했으며, 대표를 검찰에 송치할 방침이다.",https://n.news.naver.com/mnews/article/018/0006202259?sid=102,2026-01-16 21:42,2026-01-17 08:40
고용노동부,쿠팡 ‘불법파견·블랙리스트’도 노동부 감독 착수,"- 고용노동부는 쿠팡의 불법 파견과 블랙리스트 작성 등 노동행위 의혹에 대해 근로 감독에 착수했다.
- 쿠팡의 산재 은폐 의혹에 대해서도 수사가 진행 중이며, 노동부는 쿠팡 본사와 자회사에 대한 집중 감독을 실시할 계획이다.
- 노동부는 근로감독관 17명을 투입해 쿠팡의 노동관계법 위반 의혹을 전반적으로 살펴볼 예정이다.",https://n.news.naver.com/mnews/article/056/0012106837?sid=101,2026-01-16 21:31,2026-01-17 08:40
고용노동부,'중대재해 위험 노출' 소규모 사업장 관리 강화,"- 제주자치도는 국비 12억 원을 확보하여 소규모 취약 사업장에 대한 안전 관리 정책을 시행할 예정입니다.
- 관리가 미흡한 소규모 고위험 민간사업장을 대상으로 현장 맞춤형 안전 컨설팅 등이 제공될 예정입니다.
- 이는 최근 2년간 제주에서 발생한 21명의 중대재해 사망자 사례를 예방하기 위한 조치입니다.",https://n.news.naver.com/mnews/article/661/0000069360?sid=102,2026-01-16 21:05,2026-01-17 08:40
고용노동부,“외국인노동자 고용 신청하세요”…1회차 접수 26일부터,"- 고용노동부는 1월 26일부터 2월 10일까지 고용허가제(E-9) 외국인력에 대한 1차 고용허가 신청·접수를 진행한다.
- 올해는 총 5차례 접수를 진행할 예정이며, 농업 분야에서는 일부 업종의 규제가 완화되고 새로운 업종이 추가된다.
- 비수도권 제조업체의 사업장별 추가 고용 한도가 상향되고, 외국인 노동자 입국은 5월부터 본격적으로 이뤄질 예정이다.",https://n.news.naver.com/mnews/article/662/0000086602?sid=102,2026-01-16 21:01,2026-01-17 08:40
