키워드,제목,원문링크,발행일(KST),수집시각(KST),출처
고용노동부,"노동부, 런던베이글뮤지엄 과로사 의혹 '근로 감독 착수' - 뉴스1",https://news.google.com/rss/articles/CBMiS0FVX3lxTE40Rl9aMmtqNHJ2WUN6THVGUzJMLVZ6TnlralE1N3piUU5fSG9EdURSLUhHX0N2ZFFxbFF6aVU3SnBEUW9jRlpFVDAyWQ?oc=5&hl=en-US&gl=US&ceid=US:en,2025-10-30 13:43,2025-10-30 14:01,news.google.com
직업훈련,"한국기술교육대, ‘국제 직업교육훈련 콘퍼런스’ 개최 - edaily.co.kr",https://news.google.com/rss/articles/CBMigAFBVV95cUxNVkwyLUx0cy14VnI0NXRacF9xUUlHNE1yN0g0eVpRbTRTNDdzemh4VVk0Y3dic1hFTUZiLUhuYVpfR0d0OTBBSFJQVWdJY1NneWxhazdEVmhVRHRxM3V5aWJqRzZXMmg5d3lkZFpMRk9PX2JHUms3Y1RhLWZkMjB2dw?oc=5&hl=en-US&gl=US&ceid=US:en,2025-10-24 14:45,2025-10-30 14:01,news.google.com
직업훈련,[더버터] 연간 1000명 교육…국내 최대 규모 장애인 직업훈련시설 생겼다 - 중앙일보,https://news.google.com/rss/articles/CBMiVkFVX3lxTE5oNVVMV1JuSFJhcFU0eDhNTHduZ2l5QmVzLTREbk5HMVBQeklaYlF0WVRKTUlsS0JldW4xTVUzaTlOLUJGWU9nQ3ZORWpsTkx0QlJMNUFB?oc=5&hl=en-US&gl=US&ceid=US:en,2025-07-09 16:00,2025-10-30 14:01,news.google.com
직업훈련,"""주말반에 자리 있나요""…요양보호사 학원 꽉 채운 5060세대 - 한국경제",https://news.google.com/rss/articles/CBMiWkFVX3lxTE50YzZSb1pNcllwWUJsOC1hbWdOY283a2o3eGlqRGp1aW9YbV9fNzFlbjFXN0lUVFlFbXdOQ05iNXh0QUx3MXJrVlN6YUVJRFpCWkV6cHEySzcxQdIBVEFVX3lxTE4tMjFPSFFuZzlXZllzRk1QZ0xkaGc0alFIcTB6TkdpYXZIeFV5cTZ1RmRxdFgxOFNqYmpheWhCQnFycUFfbU81NWQyQTdRYVJacHZ2Tg?oc=5&hl=en-US&gl=US&ceid=US:en,2024-12-10 17:00,2025-10-30 14:01,news.google.com
직업훈련,"익산 통합일자리센터 개소…구인·구직 상담, 직업훈련, 창업지원 서비스 제공 - 전북도민일보",https://news.google.com/rss/articles/CBMihwFBVV95cUxQRm5NMWlxdU1JeUpZZFpqajRiaVJuWmRUemFXREVlTEo1ZTFDdGwwY19yWW56UG5JZXVpc0M1N3lNa004WVhWUXRBMTZJdUVHTkU5Mm5zck1BekNqSnFCRGJZcnZzdTJ4cnI5ODFzYVgxdVJWc0thMjlETkZIX3FmemJucG5NelE?oc=5&hl=en-US&gl=US&ceid=US:en,2025-10-21 15:02,2025-10-30 14:01,news.google.com
고용노동부,"고용노동부, 시기별 안전위험요인 예방을 위한 집중단속 돌입 - gukjenews.com",https://news.google.com/rss/articles/CBMibkFVX3lxTFAyNE52SU5qTEtJVTU0VEIxa0VUSndLTU42a3p0OFRaXzVuMEk0c21tS2NYbG9Cd2hCWjJpTk1mbWNSUHdvUDZqNExBWEwxSzZBcFk2RzhQbmRuRzJKeks2c2UtTHd5QzVjcmhNZS13?oc=5&hl=en-US&gl=US&ceid=US:en,2025-10-30 11:24,2025-10-30 14:01,news.google.com
고용노동부,"당근, 고용노동부와 ‘출근길 발걸음 기부’ 캠페인 - 지디넷코리아",https://news.google.com/rss/articles/CBMiVkFVX3lxTFBoQmpEdGVabXFBOUJmV2RiaEM0MndBTzg4bEdvdTlzQWpBbmNUYVZNRHd2QW5ZWmVaWTdXRHh1SkJQZjNndnpuMXJ6M0hNQTNDeC1mN19R?oc=5&hl=en-US&gl=US&ceid=US:en,2025-10-29 11:20,2025-10-30 14:01,news.google.com
한국산업인력공단,"경남정보대, 전기분야 국가기술자격시험 26명 합격 - 네이트",https://news.google.com/rss/articles/CBMiU0FVX3lxTE5qNVhkZF8wbk1vWmpNLTdQamlyT2J4SEVCWHJfWFNOMl9jMjRtNjFlZmRhVE91Nm9DQ1pycTF1TVA4M2ZGbGF5ZzE5cFdhRkVmcTF3?oc=5&hl=en-US&gl=US&ceid=US:en,2025-10-29 10:25,2025-10-30 14:01,news.google.com
한국산업인력공단,"경남정보대 전기과, 국가기술자격시험 26명 합격 쾌거…전기기사 3명 '주목' - 네이트",https://news.google.com/rss/articles/CBMiU0FVX3lxTFB3WVVLY1V2Y3o0X3prclg4ZGp3YmFIQXQwX2x1TlYycUFzUTVPOFNwbk1fNGM2ejdRcm9nTGI2MlJWSkFidjlhTHhoX2FZWU51bWxR?oc=5&hl=en-US&gl=US&ceid=US:en,2025-10-29 12:51,2025-10-30 14:01,news.google.com
한국산업인력공단,이우영 이사장 사퇴론 커지나…한국산업인력공단 벌써 '쓰리 아웃' - 1코노미뉴스,https://news.google.com/rss/articles/CBMicEFVX3lxTE5CWUUzaDVEZGtJMmpUT2xDdlROT2RhQXdvQ3YxWnNxckZIQmJvS1BXM29YZjhadW9oM2s4dVEyUmFteWtHWTd5TnRqd2hRcko2dE1yUTA2Nlp3emtIVW9yMkJSeFl5Y3RtT0R3TzVRaHE?oc=5&hl=en-US&gl=US&ceid=US:en,2025-09-22 16:00,2025-10-30 14:01,news.google.com
