키워드,제목,요약,원문링크,발행일(KST),수집시각(KST),출처
고용노동부,"대구 제지공장서 20대 노동자 참변…노동부, 중대재해법 수사 착수 - 영남일보",본문 추출 실패,https://news.google.com/rss/articles/CBMia0FVX3lxTFBha3g1X3JXS0YtZXNLWWdZeXFmN24zSUMxcEN0blNOc25La3l2b0hPcTNGc0tYc1ZwaVZEQXBQQ2dyb3VhcTFUT1I3bmtqSXFOX01meEFvZlU3REZReWdrdFlaNGc3MzVhdE53?oc=5&hl=en-US&gl=US&ceid=US:en,2025-12-01 09:34,2025-12-01 11:15,news.google.com
고용노동부,"""사업주, 밀폐공간 유해가스 측정 장비 의무 지급해야"" - 뉴시스",본문 추출 실패,https://news.google.com/rss/articles/CBMiYEFVX3lxTE9pQS03Umlub0VINGRwWmtSTWRzeEVHVnJEcGpZM2xiTnUyV0RzT090N3N6clJPZXladE1iVlNBVXRIaEtrU1NXMFlNMHk1RE5rYUZzSmNxR24tTjFIZ19PUNIBeEFVX3lxTE5TcTctaFdSRldrc3pUcUhuY3dGX2JEZXk2TXo4eWdIRUt5TGtERUJNNEx5eGJsMzJ3cGctTlNKNTZOUXQzc3h0SWlXTHlhRHQ0MUVaQXRvYTFNVVFQOV9kWDF1NUVhUnRlc01mNFQ5QTZ2T0Q2VHNWeg?oc=5&hl=en-US&gl=US&ceid=US:en,2025-12-01 09:00,2025-12-01 11:15,news.google.com
고용노동부,"오늘의인사-국무조정실, 고용노동부, 기상청, 서울신문 - 경향신문",본문 추출 실패,https://news.google.com/rss/articles/CBMiqgFBVV95cUxNajlsbzIxSjk1Nm1BZ3RyTWpHZERRdFJmRE9qelhxYkJ3U0xVSGVSQjFXN2lTckdybmVkRExIc0xtZmlzWUJEX2VRSzFEdU9yVW83S2tCWHlJUlFKbU5iai1rX3R2ZDViNE9acVVJa2ZrRXhEeWY0eUVteDF6WXcyMnNkRzNEc3FVamJxbmtfcWFtRExmSnFMbXYtZXJIQlV1S0F2VFhBczNVQdIBX0FVX3lxTE1DbUNQTnUyODRPbE1WVVlCODAzQUxFRC0tUXZYYVJGeEhkdGtGWHc3a2JCa0VCN1R0WTJ1QnU4MmFmeFU2aHpiT0RkQWZocHBqMnA4emxTOHowYU4ybEhN?oc=5&hl=en-US&gl=US&ceid=US:en,2025-11-30 15:55,2025-12-01 11:15,news.google.com
고용노동부,"쿠팡 물류센터 야간노동자 잇단 사망…노동부, 실태점검 착수 - 알파경제",본문 추출 실패,https://news.google.com/rss/articles/CBMiXkFVX3lxTE9MTEpCcGJ3aVZRV0xTWFhmMWgtUUMyUzBhdFRzOFFwakFWdnFzVXZzTFUtU01ibHdpTUVpVmFyYm1teGZvZ0tidHZPNmhSRmM3MzRjUXNKZVl5THFGeHfSAW5BVV95cUxNUGxFNmpKYlRHV09ZOWFnWU1FY1EyTHQxbGpFcEEwaHBNMzJBbmNsTWg5VG5mb0UxRjdJQkdiRGdEZTJYckVZTlBSUkZYZThkX3BWS09EazFPSTRJVnhHYzFkYVEtVEUxdTYxYUw5Zw?oc=5&hl=en-US&gl=US&ceid=US:en,2025-12-01 10:33,2025-12-01 11:15,news.google.com
고용노동부,"노동부, 쿠팡 물류센터·배송캠프 '야간 노동' 실태점검 착수 - 뉴시스",본문 추출 실패,https://news.google.com/rss/articles/CBMiYEFVX3lxTE5FeGxMT0ctNFFtb1dsX3pxWG54bmxjc3lNcnZ2TFk1alB3amRXYlBoQkpUamdlU05md1FXSjJwU0hLanBBTVpfSU1qYmxOa2xxaDUxUXU2R3hjUHNKZjZ0bdIBeEFVX3lxTE5GbGw5cHV0Nkw2MUdOS045WmFnRXhxeDUzaTRETkpVQkVweFJWdWZmWXZxb3dPU2NtZEduWFF1Wkh6SjlXa0dndVUyejNvNVBOTmZRWWI4WkR0dmRqcEYtYXVPR2NNWXNYVmMzV3NrSDFFUFgxeDNEcA?oc=5&hl=en-US&gl=US&ceid=US:en,2025-12-01 09:43,2025-12-01 11:15,news.google.com
고용노동부,"부산고용노동청, 공공발주 현장 및 건설현장 35개소 일제 점검 - 로이슈",본문 추출 실패,https://news.google.com/rss/articles/CBMiekFVX3lxTFBqM1JuT0RaTk9kaFNBVVpaeFNhcVY0eW5LNmQzQXA5UTBWYjRkREx5UnJPLTU2enRHQTk3Z2FhTnFqOERITGFWb0ItV1dSVjluaElvTjVyWGgwMkRaaHlMbHNoWHZLN0ZBb3otV3JZR3FrV2FxWWVaUHVB?oc=5&hl=en-US&gl=US&ceid=US:en,2025-12-01 11:12,2025-12-01 11:15,news.google.com
고용노동부,"노동부, 쿠팡 물류센터·배송캠프 야간노동·건강권 보호조치 실태점검 착수 - MTN 머니투데이방송",본문 추출 실패,https://news.google.com/rss/articles/CBMiZEFVX3lxTE44ZndrblF2ZVhQR3RpdnRsRW8yNTF3REtLRDkwc2I2akxwbFFJeXNCTnFjeGV5TU5LcU1lNjdGRXRqWHRpZmVXYy1QdWdSNUF2Z1IzNHZYbEtWaWVSN1EzaEhNMlk?oc=5&hl=en-US&gl=US&ceid=US:en,2025-12-01 10:07,2025-12-01 11:15,news.google.com
고용노동부,"고용노동부, 중대재해 급증에 소규모 사업장 ‘긴급 안전점검’… 전문가 ‘정부·기업·노동자 공동노력 필요 - 세이프티퍼스트닷뉴스",본문 추출 실패,https://news.google.com/rss/articles/CBMia0FVX3lxTE9saThBRTlfQk9UX1luRVpjdjVOZHhkaElvckxCUk82RFdwcFVsbDVLQkpBWlc0MVktcDRvaG5PMmQtWEJ2MmRxbS1xYW1kdnMtWVVBdGhidG9CVmotMGZybVZNMkN5cFJ4S3Aw?oc=5&hl=en-US&gl=US&ceid=US:en,2025-11-27 13:37,2025-12-01 11:15,news.google.com
고용노동부,"SDT, 고용노동부 '2025 대한민국 일생활 균형 우수기업' 선정 - 헬로티",본문 추출 실패,https://news.google.com/rss/articles/CBMiX0FVX3lxTE9MVmZGZ1loVjZUMzBDaXlIczVNcU9pS0poUVowUlRrQmV6LUtJQUxCSjZWWUI3VnRRb0lYYUY2c2FKV3NNcW1LRWJUbTEwOTdEOGlKbk9WdDQ1SUZtbF9z?oc=5&hl=en-US&gl=US&ceid=US:en,2025-11-28 18:17,2025-12-01 11:15,news.google.com
고용노동부,"노동부, 쿠팡 야간노동 및 건강보호 조치 실태점검 착수 - 네이트",본문 추출 실패,https://news.google.com/rss/articles/CBMiU0FVX3lxTE9zNFFrZWFERXY2UGlkVkZZaDRuTkNjRFBIak5KaWhPT1ZJRXNnc29oVTZYdjFIMU1lU183WXk5RFJVU0pndVdsX3dTZ2tVZmN0TllR?oc=5&hl=en-US&gl=US&ceid=US:en,2025-12-01 10:15,2025-12-01 11:15,news.google.com
