키워드,제목,요약,원문링크,발행일(KST),수집시각(KST),출처
일학습병행,"재능대-인천생활과학고, 뷰티 분야 ‘일학습병행’ 협약 - 경기일보",본문 추출 실패,https://news.google.com/rss/articles/CBMiW0FVX3lxTE41aUtBWGhFV3JQRUtYaXFpQWN5WUpGN1p3OHYyWmFtQ3lmaGRvd29RTmQxWmNyQkJhU3N5cWdnUzd2QktrM1R1WUlDSlZGY1J2aXFEd09NZF9MVWM?oc=5&hl=en-US&gl=US&ceid=US:en,2025-11-30 16:04,2025-12-01 11:15,news.google.com
일학습병행,울산과학대학교 2025년 일학습병행 학습기업 관계자 간담회 개최 - 교수신문,본문 추출 실패,https://news.google.com/rss/articles/CBMiZ0FVX3lxTFBXQkFIZ1ZLYjJNR1A3SGZDNkVEX3hySTUwdk5yMWpaZUFaenpLcGhac1EwdU55WkFTTDVRVmYxMDJLRlN2VUpUblVrVjhZaTZXOGJkVmFmTDNlZVp1VkNjeGFRQU5WQXc?oc=5&hl=en-US&gl=US&ceid=US:en,2025-11-27 10:03,2025-12-01 11:15,news.google.com
일학습병행,"한국교통대, ‘일학습병행 참여학생 모집 설명회’ 개최 - 이뉴스투데이",본문 추출 실패,https://news.google.com/rss/articles/CBMicEFVX3lxTE5sUURVNHAwUndnVk82ekxOQk9sR3lYVkhIdGFkcU5RQ1N5c2tWU0pNc0Z6WXZ5Q3d2VElZYTJmMnZ3bWZhTTJHa3JRQk4zSlQ3dEptTm5qTEY5Nl9XYU13WHRzWUF6aTlzOEZPQzlBdmHSAXRBVV95cUxPVTVkRHppWUFFanBHQ2g0TzBCdGZoTTBybDVCcm11Y2pZNENNQUZBZzVDTlRhUU1LUUk4STNJb2NXa0Q1XzlYS3hIeHFuTWVBVHljVkptZDFlRFRYTmxtUGZJLThscXFlYVBTR25UbElMRWNXQw?oc=5&hl=en-US&gl=US&ceid=US:en,2025-11-05 17:00,2025-12-01 11:15,news.google.com
일학습병행,"경성대, ‘일학습병행 우수 공동훈련센터’ 감사패 받아 - 대학저널",본문 추출 실패,https://news.google.com/rss/articles/CBMiX0FVX3lxTE9KM3Q0a3N5amNOUVVYUDVkUWlxZmlpZWdjNWNJWFdZU0VSZWRIN0VJNWJ3bE1qdlBrd056V0hKeUlHRXZlWlZqeGdwNUJsSlZqWVVOQmdOUnp1anBQaVdn?oc=5&hl=en-US&gl=US&ceid=US:en,2025-11-05 17:00,2025-12-01 11:15,news.google.com
일학습병행,"경성대, ‘일학습병행 우수 공동훈련센터’ 감사패 받아 - 대학저널",본문 추출 실패,https://news.google.com/rss/articles/CBMiW0FVX3lxTE1DUndXMno4eGZqdHpSX1pNVTc4bUd6ZUM4SXJ3eVZDV0pxUmxqMW9XcWhLcHVPWHY0QUtjMlZ4YUlfMDk1dHZyR3dGYUJydmdjUERGS0ZUd05abDjSAWpBVV95cUxOVXV5UVlja0VZVDVNZWVWNHNwbUI0T0o0R1FPeUUwTHFaZHlIcnZma1N2SGpnazVfS01aMFd3bkJiN1pOVndSUjZqMWk5TE9CSnlNRUxZMnNuQl9YZV96U2pLakw1OVdhTk13?oc=5&hl=en-US&gl=US&ceid=US:en,2025-11-05 17:00,2025-12-01 11:15,news.google.com
일학습병행,"[대전소식] 배재대, '일 학습병행사업' 전국 유일 7번째 S등급 - 연합뉴스",본문 추출 실패,https://news.google.com/rss/articles/CBMiW0FVX3lxTE5hdXlORVdIYkZXMG4xUUFmaXBqNUJtaEwwUHRxc3lBS2djN0dYNHZxaEZZVGU4VjZSUUo3dnRtdm55cjBRV2xuUmVoVTdZd2plcEF1TlFDbUxpZHPSAWBBVV95cUxOT0x3aXcxN0JIWnhoV1pTR01mTXYwLVNsSFplT0RBQ0ZqdDdDOUJ3TkFhamFQeHV5cEtya1JsQklmR1dYTlFYNmE1c2lrVUZUSUNTc2g2MkhqXzRBcGhpMkg?oc=5&hl=en-US&gl=US&ceid=US:en,2025-06-29 16:00,2025-12-01 11:15,news.google.com
일학습병행,"유한대, 2025학년도 일학습병행사업 신규 학습기업 간담회 개최 - 한국대학신문",본문 추출 실패,https://news.google.com/rss/articles/CBMiZkFVX3lxTE1WYUdVT0V3X0x5Yk0yaDZMZ1A1bXNjWXRucVhMYVRnam1ZdXMwMTFIa3RLaVZldjB5N2p0U1lHOFhoRUR3bWQySk82aEMtWVVuQ1hHV1pOaGpZMEtDd3JScUxVNGlKZw?oc=5&hl=en-US&gl=US&ceid=US:en,2025-05-09 16:00,2025-12-01 11:15,news.google.com
일학습병행,"영남이공대학교, 일학습병행과정 학생·학부모 초청 설명회 진행 - 교수신문",본문 추출 실패,https://news.google.com/rss/articles/CBMiZ0FVX3lxTE9LcTVyX1pDaUh6b21ONmVpcDh4Nl9rbFJfYm5YX2t0MU1mX0t5b0hYbUM3TTA4S3FKMFBYR1Z3SzMzS0NFT1R4emxnN2VULUIzaW9VZ2RuelVyOVh5WVhFTnZlQ1JjMDA?oc=5&hl=en-US&gl=US&ceid=US:en,2025-09-08 16:00,2025-12-01 11:15,news.google.com
일학습병행,"순천향대, ‘2025년 일학습병행 우수사례 경진대회’ 최우수상 쾌거 - 교수신문",본문 추출 실패,https://news.google.com/rss/articles/CBMiZ0FVX3lxTE1LLXIyYTlTRWlBMThwNTU5TlFPaEhOYnk5RldjSllJTFBjaS1valdONGNFN3VrekJ5cVlZUnJpank3aWJ6T0FPZkZEbXQwMEFPMzJWSG40dGFiajJlZnFZQzdOeWFXdXc?oc=5&hl=en-US&gl=US&ceid=US:en,2025-09-26 16:00,2025-12-01 11:15,news.google.com
일학습병행,"경기과기대, 일학습병행 전문대재학생단계 참여학생 모집 설명회 개최 - 중앙이코노미뉴스",본문 추출 실패,https://news.google.com/rss/articles/CBMickFVX3lxTE1sNGwyQlpOMEhibEJSTXdyVGF0Njl2YTAyVVhSQmdvb1B5d2pLSUZnU1BPanE1YmJBd0Q1X1pQcWRONmpQZDl5ZmpsR1NPSlNWOTZqdGY4RUs4WW5rRGpaR1ZPTElBRGpPc0pjMG5VWFF1dw?oc=5&hl=en-US&gl=US&ceid=US:en,2025-11-10 16:15,2025-12-01 11:15,news.google.com
