키워드,제목,요약,원문링크,발행일(KST),수집시각(KST),출처
직업훈련,"화성여성새로일하기센터, 직업훈련 수료생 사회환원 프로젝트 시작 - 화성저널",본문 추출 실패,https://news.google.com/rss/articles/CBMiZkFVX3lxTE1WWU5hVll3RXdJSFFFNkh6OEJfYnJYeGVJWGFMT1ZNNDdXS1Fla3V6U2lwVHh4RHdid05aY0UxcW50VTl1Ny02S2NXNzRmbnZlMDI1bjJwdGVQQ1VITlVOT3F3M1JHUQ?oc=5&hl=en-US&gl=US&ceid=US:en,2025-09-29 16:00,2025-12-01 11:15,news.google.com
직업훈련,고용위기 선제대응지역 직업훈련 생계비 대부 - 경북매일,본문 추출 실패,https://news.google.com/rss/articles/CBMiWkFVX3lxTE9GMHIyR2V1MndCX3A3TlNRbFFMQ3RFYkx6YVZVWTlwVlJlNlJTUFMwaFVaSUNLU2dBelRfT2toZzRjWUtlc1NZbHo4c0NER0lldWJQYXMydi1OUQ?oc=5&hl=en-US&gl=US&ceid=US:en,2025-11-30 18:00,2025-12-01 11:15,news.google.com
직업훈련,"에티오피아 LG-KOICA 희망직업훈련학교, 9회 졸업생 배출 - 연합뉴스",본문 추출 실패,https://news.google.com/rss/articles/CBMiW0FVX3lxTFBXOF9FMUVBZDBwLWhvWjB5U3A0bHVBOHlHTE90NzdxMGFrWEFqbkpDWEg5TUU1UkxZcHN0N1p0ZFoyVkRXNHRfUXBMU3BBMW43Y0N0bG9NN0dIeG_SAWBBVV95cUxNbkVSLWIwbTQ1WUVCTnhERFRJeHVxSzk2am5PeHJwckxnQUJlYzBUV3NDR2FWaWVuNDBnTUlqLUNOdktJWTFYb0dSVGxOZWpwa1A2bVZKNWRldXBwSXRGM1E?oc=5&hl=en-US&gl=US&ceid=US:en,2025-08-11 16:00,2025-12-01 11:15,news.google.com
직업훈련,"AI로 배우고, AI로 가르친다…진화하는 직업훈련 - 네이트",본문 추출 실패,https://news.google.com/rss/articles/CBMiU0FVX3lxTE40R25hTHdJdjlYQ0pBTGVUREQ2cDRSSWs1QjNmaEZVVjV0WU9mRVhKbzNBakUyUl9WY3hZZFY3bjZEbkIyNXc4U3I2YVpqR1FGQ2VF?oc=5&hl=en-US&gl=US&ceid=US:en,2025-11-12 17:00,2025-12-01 11:15,news.google.com
직업훈련,"김영훈 고용장관 ""AI는 기회이자 도전…직업훈련 강화해 변화에 적응"" - 뉴스1",본문 추출 실패,https://news.google.com/rss/articles/CBMiY0FVX3lxTE1pOTEtZjd0bmJZcGVnUmp2NEExNTZUNmM4aFFMSUg2SkJrMFBoMFpLU0lrMll6SFdEX1RwMHNHRnZSelpCM0hrTFk4QlQxN2NONm8teG1uQVNmaU5YMm5icnA2UQ?oc=5&hl=en-US&gl=US&ceid=US:en,2025-09-12 16:00,2025-12-01 11:15,news.google.com
직업훈련,[직업 뉴스] 전문성 있는 직업훈련교사 ‘2025 스타훈련교사’ 선발 25일부터 진행 - 아웃소싱타임스,본문 추출 실패,https://news.google.com/rss/articles/CBMickFVX3lxTE5aNXdITDBfWVRETUp2WXZiMEZnSnI5d1VOX2p2NS1CRkFIWEZoVTBwRVlhZHZnUVhoSl9wdnpVZjhXVkc5Q2pWczRweDFkaDhIOEVtNVdHZzQzc1JvZjlwbU5ZdzRiNTZjc2k1OTcwVFpoUQ?oc=5&hl=en-US&gl=US&ceid=US:en,2025-08-21 16:00,2025-12-01 11:15,news.google.com
직업훈련,"한국기술교육대, 네팔 직업훈련교사 초청연수 개최 - 충청뉴스",본문 추출 실패,https://news.google.com/rss/articles/CBMibEFVX3lxTE05TDZhX2FIZUozN2JQTHU3U25mNktRMUM1MGUweUJ1Nkc5SmdmYUNUeklxU3UxbnJFNFZHTXlFYjZ1bUNubWdaVzBoYTZPZWpiZkZFVGNOdHhiUHRvejV0cWIzc0ZFZjFsQ3NMZQ?oc=5&hl=en-US&gl=US&ceid=US:en,2025-08-26 16:00,2025-12-01 11:15,news.google.com
직업훈련,"한국정보교육원, 직업훈련 혁신 공모전 최우수상 수상 - 데일리시큐",본문 추출 실패,https://news.google.com/rss/articles/CBMibEFVX3lxTE4yZ2N3TEJjQ1YxNHBrdUttV0xzMm5nWU1hUHkyaHprQ0ZTaTIwWEsxVkJlejc2Z0VQSkNFN2ZaMHJsLWhEMUFzRE96YnJvZF81YUw4ZHhtRTNyVzhXeDhxWVVPU3V5WHJfUnlsUg?oc=5&hl=en-US&gl=US&ceid=US:en,2025-10-01 16:00,2025-12-01 11:15,news.google.com
직업훈련,"산엔청복지관, 여성장애인 직업훈련 프로그램 ‘꿈을 빚다’ 성료 - 한국장애인신문",본문 추출 실패,https://news.google.com/rss/articles/CBMidEFVX3lxTE54ZV93QXQ4Vko3XzhDdTJVX0ZucV9DVUJwTExKYXNQVURuQ2VxM2JNbjBtWGFPZnVfbWs5RlpIUlBMRlU0c2lyUXJuc2tuYURheFNaNEpiZEFqRXhvTkVRTkUxdmxudDkzSV8zdjgwZ1U2SEZy0gF4QVVfeXFMUFVpX2tUQlI4UlRFM2FGdm5DNWt6cFNFY0xBVUtUWVZFOFVCX29mcEtBeC1Fb2VHSmRBYUVsRmNIOW9TNElJNE04SFEwVWM3UDd2Y2xyV016cTdoejFiVU5QRmtsaGtnRVBIR1J3YlVLSEd4SXFHQTg5?oc=5&hl=en-US&gl=US&ceid=US:en,2025-11-06 17:00,2025-12-01 11:15,news.google.com
직업훈련,"한기대, 직업훈련 최고 전문가 ‘스타훈련교사’에 도전 - 충청뉴스",본문 추출 실패,https://news.google.com/rss/articles/CBMia0FVX3lxTE1MZGxTNnh3YUdVaTlORDhNajNJQUhZelNkSEUzWGNQUElLUVVYcVJaOW5TX2ZRdGI4cW40RWxwYzRJWjJtbTA0T1VyQ1pDN3hyR3g4cG1CSko4Qk1wWGxpTmdpbzhCWWQzaXhN?oc=5&hl=en-US&gl=US&ceid=US:en,2025-08-20 16:00,2025-12-01 11:15,news.google.com
