키워드,제목,요약,원문링크,발행일(KST),수집시각(KST),출처
한국산업인력공단,[단독]인력공단 왜 이러나…국가자격 출제 직원이 수험참고서 판매 - 이데일리,본문 추출 실패,https://news.google.com/rss/articles/CBMigAFBVV95cUxQVEkxY2t4eFRtX0hSMm1HY3ZzejJmR1VTR1ZtMnZ5LXdzeFpfMWl5VEdPMHEzTlRaeXFwRloxblNZX3JPWW9JTVd3YkQ4NVl3UFBFMjBpZ19sT3ZwY2pHSGZLR1ZpWDJCRUgzTnl4SWQ5TEhFYWNsaEhTclVKN0lCaw?oc=5&hl=en-US&gl=US&ceid=US:en,2025-09-22 16:00,2025-12-01 11:16,news.google.com
한국산업인력공단,"헌법재판소·인권위 업무에 AI 입힌다…NIA, 지능정보화 로드맵 수립 - 전자신문",본문 추출 실패,https://news.google.com/rss/articles/CBMiTkFVX3lxTE50NTlmUjE3eHIzYmRKN1gyRXF5R21LMDNtb3ZsMFhpYV9IQXZoOXQ3Q3NLVFFDc0NZLV9IYXowanpxZ2pZRkRCZUY5UFc2dw?oc=5&hl=en-US&gl=US&ceid=US:en,2025-11-27 15:13,2025-12-01 11:16,news.google.com
한국산업인력공단,시험 안 봤는데 합격?…산업인력공단 '기관경고' - v.daum.net,본문 추출 실패,https://news.google.com/rss/articles/CBMiT0FVX3lxTE92VS1OV1QyYzBBQ3pRdnphZFhWOThZS3RGMEE4dFIwT1UwWmR0Z29JRjRvOXVRMEJGWEU2ZnNPdWZPZE8wSjZFd0xkU2pyazg?oc=5&hl=en-US&gl=US&ceid=US:en,2025-10-20 16:00,2025-12-01 11:16,news.google.com
한국산업인력공단,산업인력공단 등 국감서 운영·관리 부실 지적 잇따라 - 연합뉴스,본문 추출 실패,https://news.google.com/rss/articles/CBMiW0FVX3lxTE9oUnMtUG5DWkdfVFEtWXM4ZWI2NmVadXhmZWczR1lwYi1ObEpjczFobUI3MW5xeXVVVUkzSzQ3amJ3UHJQbDVHcFoxNS1yQVVpOEc4ODlmbGFtWjTSAWBBVV95cUxNal9NdjQtTE56cFNFV3BYM0pGTGx4cm9vZlgzeGFEakdobWtZUXlKUVNtWGI4R2dwUEYtQ3VJRmJIczlkVjZlYkJtT09yUFNieXMxU00wa1Y1bWtOWjYxTzk?oc=5&hl=en-US&gl=US&ceid=US:en,2025-10-21 16:00,2025-12-01 11:16,news.google.com
한국산업인력공단,"한국지능정보사회진흥원, 인공지능 확산을 위한 2025년 지능정보화 컨설팅 완료보고회 개최 - 매일신문",본문 추출 실패,https://news.google.com/rss/articles/CBMiYkFVX3lxTE1WVEFrLXVUbG15NzFGa25xMDlvbFR5b2FVTW81RkdleEJjdThRR1NPRWdLQW9CRFZDa2VMeExwcGlnLTR3b2Y3VjRkaTd3eHVka19hSWZVSktNc2xBUHVlR3Bn?oc=5&hl=en-US&gl=US&ceid=US:en,2025-11-27 16:58,2025-12-01 11:16,news.google.com
한국산업인력공단,"대법, 산업인력공단 시험 출제 오류 손해배상 소송 파기환송 - v.daum.net",본문 추출 실패,https://news.google.com/rss/articles/CBMiT0FVX3lxTFBDVjVZUmNrYjZuNklMR2dnZkRNd0xEeW0xd0NGaTEyU3FKT3BOeFZkUzItVEhmQ1VBY0RLczFCWEgwVTNtbmZFdzFJTVV4TUk?oc=5&hl=en-US&gl=US&ceid=US:en,2025-11-23 15:41,2025-12-01 11:16,news.google.com
한국산업인력공단,"대법원, 세무사시험 재채점 한국산업인력공단의 손배책임 인정한 원심 파기환송 - 로이슈",본문 추출 실패,https://news.google.com/rss/articles/CBMiekFVX3lxTE5FWk43Vjh3Vm9IU0pIckJlMEt6TEQ3YmVZTmlGUUtxc0FtcldKclFBM2Zpb2g1VW02NGhrOHkzcU9zb3Z4QWxfdFB0dk9SaU11TnRLM1hTVGJKSEFYQ3hYb0VESm4zRGJRanhuQ0oxWVRNOEVvMENZMC13?oc=5&hl=en-US&gl=US&ceid=US:en,2025-11-23 09:01,2025-12-01 11:16,news.google.com
한국산업인력공단,"한국산업인력공단 강원동부지사, 외국인 근로자 도입 실무자 협의회 개최 - 강원도민일보",본문 추출 실패,https://news.google.com/rss/articles/CBMiaEFVX3lxTFA3TzAzWWgwTmxrLXNfSzIta3pJY1Vlb05XcFFzN3ZvdVQ1amZ6U05DVTFuTzZfMGtKU18zd1FDU2JINHZTZlZmTTdWU3c2YlhJU21fLWEtMmR5MC1fdmRJNmpNbzAtNFFS?oc=5&hl=en-US&gl=US&ceid=US:en,2025-11-21 19:27,2025-12-01 11:16,news.google.com
한국산업인력공단,"산업인력공단 전남지사, 외국인 근로자 주거물품 지원 - 전남일보",본문 추출 실패,https://news.google.com/rss/articles/CBMib0FVX3lxTE9abjlOYTRDT1loTTg3dzlIU1A0ZDFLbzlHXzJSUWRXdWNNU0ZWSkRmVkJxNmtzdExXVENNRE5ZQ2J5TDdXQkptVThFUjBZbi15Z1F1d3ZZa1FBUzBabDdkRnFOc1p2M2pRT1BPSE9JRQ?oc=5&hl=en-US&gl=US&ceid=US:en,2025-11-09 17:00,2025-12-01 11:16,news.google.com
한국산업인력공단,"한국산업인력공단, 국민행복 AI 혁신추진단 출범 - 뉴스1",본문 추출 실패,https://news.google.com/rss/articles/CBMiUkFVX3lxTE5FOS0tcDR4Mzhxd2w0TmRmVno1eTgzdXFQbkg1WUpGOU1OV3MzT3BiU05rV0lFUzR6OUJsR3lfTFJmZlVCa0c3YUhNbmRNWldLTEE?oc=5&hl=en-US&gl=US&ceid=US:en,2025-08-28 16:00,2025-12-01 11:16,news.google.com
